Start	End	Midpoint	Pi	S
1	600	548	0.01471	40
401	1000	948	0.00594	15
801	1400	1348	0.00438	13
1201	1800	1748	0.00976	27
1601	2200	2214	0.00998	27
2001	2600	2614	0.01022	28
2401	3000	3014	0.00837	24
2801	3400	3414	0.00957	29
3201	3800	3827	0.00819	27
3601	4200	4248	0.00916	24
4001	4600	4651	0.01338	41
4401	5000	5131	0.01649	45
4801	5400	5538	0.00841	27
5201	5800	5981	0.01019	35
5601	6200	6431	0.01090	35
6001	6600	6994	0.01968	61
6401	7000	8397	0.01389	39
6801	7400	8839	0.00898	27
7201	7800	9249	0.00873	27
7601	8200	9788	0.01024	30
8001	8600	10224	0.01221	42
8401	9000	10787	0.02140	70
8801	9400	11227	0.00990	37
9201	9800	11630	0.00838	25
9601	10200	12032	0.00944	27
10001	10600	12461	0.01216	31
10401	11000	12861	0.00630	18
10801	11400	13261	0.00367	11
11201	11800	13661	0.00121	3
11601	12200	14062	0.00562	15
12001	12600	14462	0.00803	24
12401	13000	14880	0.00568	18
12801	13400	15285	0.00940	32
13201	13800	15722	0.01046	31
13601	14200	16124	0.00708	16
14001	14600	16563	0.00819	27
14401	15000	17003	0.00652	21
14801	15400	17403	0.00479	16
15201	15800	17809	0.00590	22
15601	16200	18212	0.00324	12
16001	16600	18612	0.00546	11
16401	17000	19031	0.00622	17
16801	17400	19437	0.00422	14
17201	17800	19837	0.00711	18
17601	18200	20243	0.00587	19
18001	18600	20643	0.00873	25
18401	19000	21043	0.00971	27
18801	19400	21443	0.00732	24
19201	19800	21843	0.00505	19
19601	20200	22243	0.00573	19
20001	20600	22643	0.00297	10
20401	21000	23043	0.00575	20
20801	21400	23443	0.00557	16
21201	21800	23843	0.00394	14
21601	22200	24243	0.00419	12
22001	22600	24643	0.00525	13
22401	23000	25052	0.00857	21
22801	23400	25477	0.00549	14
23201	23800	25877	0.00356	9
23601	24200	26278	0.00279	11
24001	24600	26678	0.00203	7
24401	25000	27084	0.00487	13
24801	25400	27484	0.00451	14
25201	25800	27884	0.00429	15
25601	26200	28287	0.00441	14
26001	26600	28687	0.00406	13
26401	27000	29087	0.00329	11
26801	27400	29517	0.00694	22
27201	27800	29947	0.01054	26
27601	28200	30354	0.01068	27
28001	28600	30874	0.01302	36
28401	29000	31375	0.01094	30
28801	29400	31781	0.01076	34
29201	29800	32186	0.01286	40
29601	30200	32640	0.00883	29
30001	30600	33093	0.00768	28
30401	31000	33533	0.01998	66
30801	31400	33977	0.02405	71
31201	31800	34463	0.01302	43
31601	32200	34917	0.00729	23
32001	32600	35377	0.01368	38
