Start	End	Midpoint	Pi	S
1	600	327	0.00200	3
401	1000	728	0.00000	0
801	1400	1128	0.00056	1
1201	1800	1528	0.00111	2
1601	2200	1928	0.00111	2
2001	2600	2333	0.00167	3
2401	3000	2733	0.00222	4
2801	3400	3133	0.00111	2
3201	3800	3533	0.00311	5
3601	4200	3944	0.00278	5
4001	4600	4344	0.00222	4
4401	5000	4749	0.00278	5
4801	5400	5149	0.00333	6
5201	5800	5552	0.00111	2
5601	6200	5952	0.00056	1
6001	6600	6352	0.00167	3
6401	7000	6753	0.00167	3
6801	7400	7163	0.00056	1
7201	7800	7563	0.00056	1
7601	8200	7963	0.00167	3
8001	8600	8363	0.00222	4
8401	9000	8763	0.00056	1
8801	9400	9163	0.00111	2
9201	9800	9563	0.00278	5
9601	10200	9963	0.00167	3
10001	10600	10363	0.00144	2
10401	11000	10769	0.00311	5
10801	11400	11176	0.00333	6
11201	11800	11576	0.00367	6
11601	12200	11976	0.00333	6
12001	12600	12387	0.00478	8
12401	13000	12803	0.00222	4
12801	13400	13207	0.00056	1
13201	13800	13607	0.00111	2
13601	14200	14007	0.00089	1
14001	14600	14407	0.00256	4
14401	15000	14807	0.00456	7
14801	15400	15207	0.00200	3
15201	15800	15607	0.00000	0
15601	16200	16007	0.00056	1
16001	16600	16407	0.00144	2
16401	17000	16807	0.00111	2
16801	17400	17209	0.00167	3
17201	17800	17618	0.00111	2
17601	18200	18018	0.00000	0
18001	18600	18418	0.00056	1
18401	19000	18818	0.00167	3
18801	19400	19236	0.00278	5
19201	19800	19636	0.00111	2
19601	20200	20036	0.00111	2
20001	20600	20436	0.00311	5
20401	21000	20836	0.00111	2
20801	21400	21236	0.00167	3
21201	21800	21636	0.00278	5
21601	22200	22036	0.00056	1
22001	22600	22436	0.00000	0
22401	23000	22836	0.00056	1
22801	23400	23236	0.00167	3
23201	23800	23663	0.00167	3
23601	24200	24063	0.00000	0
24001	24600	24463	0.00000	0
24401	25000	24863	0.00000	0
24801	25400	25263	0.00056	1
25201	25800	25670	0.00200	3
25601	26200	26070	0.00367	6
26001	26600	26470	0.00056	1
